,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location.latitude,location.longitude,location.human_address,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,closed_date,resolution_description,resolution_action_updated_date,address_type,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
11,50050999,2021-03-19T00:51:24.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10034,233 DYCKMAN STREET,DYCKMAN STREET,BROADWAY,SEAMAN AVENUE,BROADWAY,SEAMAN AVENUE,NEW YORK,DYCKMAN STREET,In Progress,12 MANHATTAN,1022370008,MANHATTAN,1004229,254781,MOBILE,Unspecified,MANHATTAN,40.86596699,-73.92776686,40.86596699,-73.92776686,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13092,47,4,39,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,50049329,2021-03-19T00:50:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10032,79 ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST  153 STREET,EDGECOMBE AVENUE,WEST  153 STREET,EDGECOMBE AVENUE,NEW YORK,ST NICHOLAS PLACE,In Progress,09 MANHATTAN,1020690008,MANHATTAN,1000736,241669,MOBILE,Unspecified,MANHATTAN,40.82998564,-73.94042788,40.82998564,-73.94042788,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12428,37,4,36,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,50048210,2021-03-19T00:49:52.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11213,1571 BERGAN STREET,BERGAN STREET,SCHENECTADY AVENUE,MOSES P COBB WAY,SCHENECTADY AVENUE,MOSES P COBB WAY,BROOKLYN,BERGEN STREET,In Progress,08 BROOKLYN,3013480061,BROOKLYN,1003242,185242,PHONE,Unspecified,BROOKLYN,40.67510288,-73.93153183,40.67510288,-73.93153183,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17615,16,2,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,50052951,2021-03-19T00:49:41.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11414,80-71 SHORE PARKWAY,SHORE PARKWAY,80 STREET,156 AVENUE,80 STREET,156 AVENUE,HOWARD BEACH,SHORE PARKWAY,In Progress,10 QUEENS,4139430001,QUEENS,1025562,180514,MOBILE,Unspecified,QUEENS,40.66204957,-73.85109495,40.66204957,-73.85109495,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",15314,62,3,41,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,50053663,2021-03-19T00:48:51.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10025,100 WEST  105 STREET,WEST  105 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,NEW YORK,WEST  105 STREET,In Progress,07 MANHATTAN,1018590035,MANHATTAN,994276,230280,ONLINE,Unspecified,MANHATTAN,40.79873572,-73.96378808,40.79873572,-73.96378808,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12422,20,4,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,50047786,2021-03-19T00:48:37.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11215,430 PROSPECT AVENUE,PROSPECT AVENUE,8 AVENUE,PROSPECT PARK WEST,8 AVENUE,PROSPECT PARK WEST,BROOKLYN,PROSPECT AVENUE,In Progress,07 BROOKLYN,3008700008,BROOKLYN,988831,179685,ONLINE,Unspecified,BROOKLYN,40.65986934,-73.98348878,40.65986934,-73.98348878,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17617,9,2,7,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,50053432,2021-03-19T00:48:30.000,DOT,Department of Transportation,Broken Parking Meter,No Receipt,Lot,11235,1602 VOORHIES AVENUE,VOORHIES AVENUE,EAST   16 STREET,SHEEPSHEAD BAY ROAD,EAST   16 STREET,SHEEPSHEAD BAY ROAD,BROOKLYN,VOORHIES AVENUE,In Progress,15 BROOKLYN,3087700001,BROOKLYN,997358,152711,ONLINE,Unspecified,BROOKLYN,40.58582285,-73.95280745,40.58582285,-73.95280745,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13826,32,2,15,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,50048538,2021-03-19T00:46:53.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11201,343 GOLD STREET,GOLD STREET,JOHNSON STREET,FLATBUSH AVENUE EXTENSION,JOHNSON STREET,FLATBUSH AVENUE EXTENSION,BROOKLYN,GOLD STREET,In Progress,02 BROOKLYN,3020490002,BROOKLYN,988883,192165,ONLINE,Unspecified,BROOKLYN,40.69412409,-73.98329278,40.69412409,-73.98329278,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",16865,68,2,48,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,50048771,2021-03-19T00:46:25.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10453,30 WEST  174 STREET,WEST  174 STREET,LORETTA RUDDOCK SMITH WAY,GRAND AVENUE,LORETTA RUDDOCK SMITH WAY,GRAND AVENUE,BRONX,WEST  174 STREET,In Progress,05 BRONX,2028650175,BRONX,1007808,247741,MOBILE,Unspecified,BRONX,40.84663548,-73.91485191,40.84663548,-73.91485191,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",10931,6,5,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,50052956,2021-03-19T00:46:24.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10027,2405 FREDERICK DOUGLAS BOULEVARD,FREDERICK DOUGLAS BOULEVARD,WEST  128 STREET,WEST  129 STREET,WEST  128 STREET,WEST  129 STREET,NEW YORK,8 AVENUE,In Progress,10 MANHATTAN,1019557503,MANHATTAN,998309,235430,PHONE,Unspecified,MANHATTAN,40.81286555,-73.9492109,40.81286555,-73.9492109,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12424,18,4,36,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,50047673,2021-03-19T00:45:14.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11215,428 PROSPECT AVENUE,PROSPECT AVENUE,8 AVENUE,PROSPECT PARK WEST,8 AVENUE,PROSPECT PARK WEST,BROOKLYN,PROSPECT AVENUE,In Progress,07 BROOKLYN,3008700007,BROOKLYN,988816,179696,ONLINE,Unspecified,BROOKLYN,40.65989954,-73.98354284,40.65989954,-73.98354284,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17617,9,2,7,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,50046732,2021-03-19T00:45:07.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10012,124 MAC DOUGAL STREET,MAC DOUGAL STREET,MINETTA LANE,WEST    3 STREET,MINETTA LANE,WEST    3 STREET,NEW YORK,MAC DOUGAL STREET,In Progress,02 MANHATTAN,1005400011,MANHATTAN,984130,205254,ONLINE,Unspecified,MANHATTAN,40.7300515,-74.00043297,40.7300515,-74.00043297,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12075,57,4,32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,50050187,2021-03-19T00:44:32.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11219,1305 53 STREET,53 STREET,13 AVENUE,14 AVENUE,13 AVENUE,14 AVENUE,BROOKLYN,53 STREET,In Progress,12 BROOKLYN,3056630001,BROOKLYN,985901,169733,ONLINE,Unspecified,BROOKLYN,40.63255428,-73.99405177,40.63255428,-73.99405177,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17621,2,2,18,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,50048739,2021-03-19T00:44:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11433,108-32 164 STREET,164 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,JAMAICA,164 STREET,In Progress,12 QUEENS,4101710048,QUEENS,1042482,193030,ONLINE,Unspecified,QUEENS,40.69630794,-73.79000052,40.69630794,-73.79000052,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",24668,41,3,6,61,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,50047483,2021-03-19T00:43:49.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11234,6602 AVENUE T,AVENUE T,EAST   66 STREET,EAST   67 STREET,EAST   66 STREET,EAST   67 STREET,BROOKLYN,AVENUE T,Closed,18 BROOKLYN,3084080073,BROOKLYN,1008497,164812,ONLINE,Unspecified,BROOKLYN,40.61901414,-73.91266044,40.61901414,-73.91266044,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13825,5,2,8,38,2021-03-19T00:54:15.000,The Police Department reviewed your complaint and provided additional information below.,2021-03-19T04:54:17.000,NA,NA,NA,NA,NA,NA
26,50048567,2021-03-19T00:43:38.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11221,377 JEFFERSON AVENUE,JEFFERSON AVENUE,TOMPKINS AVENUE,THROOP AVENUE,TOMPKINS AVENUE,THROOP AVENUE,BROOKLYN,JEFFERSON AVENUE,Closed,03 BROOKLYN,3018300062,BROOKLYN,1000133,188529,MOBILE,Unspecified,BROOKLYN,40.68413107,-73.94273235,40.68413107,-73.94273235,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",18181,69,2,49,51,2021-03-19T00:57:40.000,The Police Department responded to the complaint and determined that police action was not necessary.,2021-03-19T04:57:46.000,NA,NA,NA,NA,NA,NA
27,50046308,2021-03-19T00:42:50.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,518 WEST  159 STREET,WEST  159 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,NEW YORK,WEST  159 STREET,In Progress,12 MANHATTAN,1021170026,MANHATTAN,1000323,243292,ONLINE,Unspecified,MANHATTAN,40.83444107,-73.94191636,40.83444107,-73.94191636,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13090,47,4,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,50047836,2021-03-19T00:42:44.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11105,21-23 STEINWAY STREET,STEINWAY STREET,21 AVENUE,DITMARS BOULEVARD,21 AVENUE,DITMARS BOULEVARD,ASTORIA,STEINWAY STREET,In Progress,01 QUEENS,4007970024,QUEENS,1010700,221323,PHONE,Unspecified,QUEENS,40.77411726,-73.90450316,40.77411726,-73.90450316,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",16862,39,3,4,72,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,50053086,2021-03-19T00:42:13.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11385,71-16 69 PLACE,69 PLACE,CENTRAL AVENUE,MYRTLE AVENUE,CENTRAL AVENUE,MYRTLE AVENUE,RIDGEWOOD,69 PLACE,In Progress,05 QUEENS,4036840016,QUEENS,1016793,195632,ONLINE,Unspecified,QUEENS,40.70358157,-73.88262889,40.70358157,-73.88262889,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",15310,54,3,34,62,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,50052075,2021-03-19T00:41:31.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11373,94-60 45 AVENUE,45 AVENUE,94 STREET,JUNCTION BOULEVARD,94 STREET,JUNCTION BOULEVARD,ELMHURST,45 AVENUE,In Progress,04 QUEENS,4016020032,QUEENS,1020237,210372,PHONE,Unspecified,QUEENS,40.74402592,-73.8701288,40.74402592,-73.8701288,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",14784,66,3,5,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,50053815,2021-03-19T00:41:25.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10458,166 EAST  205 STREET,EAST  205 STREET,GRAND CONCOURSE,LISBON PLACE,GRAND CONCOURSE,LISBON PLACE,BRONX,EAST  205 STREET,Closed,07 BRONX,2033110107,BRONX,1015966,258183,PHONE,Unspecified,BRONX,40.87527006,-73.88531623,40.87527006,-73.88531623,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",10936,24,5,40,34,2021-03-19T00:53:37.000,The Police Department responded to the complaint and determined that police action was not necessary.,2021-03-19T04:53:40.000,NA,NA,NA,NA,NA,NA
32,50047723,2021-03-19T00:41:16.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10460,1479 LONGFELLOW AVENUE,LONGFELLOW AVENUE,JENNINGS STREET,EAST  172 STREET,JENNINGS STREET,EAST  172 STREET,BRONX,LONGFELLOW AVENUE,In Progress,03 BRONX,2030000134,BRONX,1015692,242653,ONLINE,Unspecified,BRONX,40.83264586,-73.88637984,40.83264586,-73.88637984,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",11269,34,5,43,25,NA,Your complaint has been received by the Police Department and additional information will be available later.,2021-03-19T04:49:32.000,NA,NA,NA,NA,NA,NA
33,50053462,2021-03-19T00:40:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,1555 PARK PLACE,PARK PLACE,ROCHESTER AVENUE,BUFFALO AVENUE,ROCHESTER AVENUE,BUFFALO AVENUE,BROOKLYN,PARK PLACE,Closed,08 BROOKLYN,3013680058,BROOKLYN,1004776,184154,ONLINE,Unspecified,BROOKLYN,40.67211314,-73.92600491,40.67211314,-73.92600491,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17615,16,2,49,49,2021-03-19T00:47:12.000,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2021-03-19T04:47:16.000,NA,NA,NA,NA,NA,NA
34,50052420,2021-03-19T00:40:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10030,167 WEST  133 STREET,WEST  133 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,NEW YORK,WEST  133 STREET,In Progress,10 MANHATTAN,1019180007,MANHATTAN,999326,235987,ONLINE,Unspecified,MANHATTAN,40.81439268,-73.94553567,40.81439268,-73.94553567,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12427,18,4,36,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,50047188,2021-03-19T00:39:54.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10012,122 MAC DOUGAL STREET,MAC DOUGAL STREET,BLEECKER STREET,MINETTA LANE,BLEECKER STREET,MINETTA LANE,NEW YORK,MAC DOUGAL STREET,In Progress,02 MANHATTAN,1005400010,MANHATTAN,984086,205184,ONLINE,Unspecified,MANHATTAN,40.72985936,-74.00059172,40.72985936,-74.00059172,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12075,57,4,32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,50052356,2021-03-19T00:39:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10027,MORNINGSIDE AVENUE,MORNINGSIDE AVENUE,MORNINGSIDE AVENUE,WEST  122 STREET,MORNINGSIDE AVENUE,WEST  122 STREET,NA,NA,Closed,10 MANHATTAN,NA,MANHATTAN,996588,234177,PHONE,Unspecified,MANHATTAN,40.80942898,-73.95543044,40.80942898,-73.95543044,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12424,37,4,23,17,2021-03-19T00:46:59.000,The Police Department reviewed your complaint and provided additional information below.,2021-03-19T04:47:01.000,NA,NA,NA,NA,NA,NA
37,50051702,2021-03-19T00:38:57.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10457,730 OAKLAND PLACE,OAKLAND PLACE,CLINTON AVENUE,PROSPECT AVENUE,CLINTON AVENUE,PROSPECT AVENUE,BRONX,OAKLAND PLACE,In Progress,06 BRONX,2030940003,BRONX,1015163,247803,ONLINE,Unspecified,BRONX,40.84678296,-73.88826771,40.84678296,-73.88826771,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",10935,35,5,22,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,50052054,2021-03-19T00:37:53.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,107-64 118 STREET,118 STREET,107 AVENUE,109 AVENUE,107 AVENUE,109 AVENUE,SOUTH RICHMOND HILL,118 STREET,In Progress,10 QUEENS,4095970036,QUEENS,1033082,188425,MOBILE,Unspecified,QUEENS,40.68372517,-73.8239326,40.68372517,-73.8239326,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",24015,62,3,46,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,50047461,2021-03-19T00:37:12.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10456,1033 WEBSTER AVENUE,WEBSTER AVENUE,EAST  165 STREET,EAST  166 STREET,EAST  165 STREET,EAST  166 STREET,BRONX,WEBSTER AVENUE,In Progress,04 BRONX,2024250035,BRONX,1008666,241163,PHONE,Unspecified,BRONX,40.82857845,-73.9117747,40.82857845,-73.9117747,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",10934,50,5,42,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,50047156,2021-03-19T00:36:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11211,230 BROADWAY,BROADWAY,ROEBLING STREET,NA,ROEBLING STREET,NA,BROOKLYN,BROADWAY,In Progress,01 BROOKLYN,3021407501,BROOKLYN,995213,197631,PHONE,Unspecified,BROOKLYN,40.7091214,-73.96045706,40.7091214,-73.96045706,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17613,36,2,38,56,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,50047157,2021-03-19T00:36:16.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,10473,2212 TURNBULL AVENUE,TURNBULL AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,BRONX,TURNBULL AVENUE,In Progress,09 BRONX,2036900012,BRONX,1026188,239557,ONLINE,Unspecified,BRONX,40.82410463,-73.84847046,40.82410463,-73.84847046,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",11611,58,5,31,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,50046319,2021-03-19T00:35:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,232 7 AVENUE,7 AVENUE,WEST   23 STREET,WEST   24 STREET,WEST   23 STREET,WEST   24 STREET,NEW YORK,7 AVENUE,In Progress,04 MANHATTAN,1007730044,MANHATTAN,985522,210494,ONLINE,Unspecified,MANHATTAN,40.74443391,-73.99540953,40.74443391,-73.99540953,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12074,12,4,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,50052598,2021-03-19T00:35:42.000,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,11373,80-06 47 AVENUE,47 AVENUE,80 STREET,82 STREET,80 STREET,82 STREET,ELMHURST,47 AVENUE,In Progress,04 QUEENS,4015367501,QUEENS,1016302,209086,ONLINE,Unspecified,QUEENS,40.74051131,-73.88433568,40.74051131,-73.88433568,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",14784,66,3,5,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
